Symbol,Description
SMUP,T-REX 2X Long SMR Daily Target ETF
SOFX,Defiance Daily Target 2X Long SOFI ETF
SOLT,2x Solana ETF
SOXL,Direxion Daily Semiconductor Bull 3X Shares
SPXL,Direxion Daily S&P500® Bull 3X Shares
SSO,ProShares Ultra S&P500
TECL,Direxion Daily Technology Bull 3X Shares
TEMT,Tradr 2X Long TEM Daily ETF
TMF,Direxion Daily 20+ Year Treasury Bull 3X Shares
TNA,Direxion Daily Small Cap Bull 3X Shares
TQQQ,ProShares UltraPro QQQ
TSL,GraniteShares 1.25x Long Tsla Daily ETF
TSLL,Direxion Daily TSLA Bull 2X Shares
TSLR,Graniteshares 2x Long TSLA Daily ETF
TSLT,T-Rex 2X Long Tesla Daily Target ETF
TSLW,Roundhill TSLA WeeklyPay ETF
TSYY,GraniteShares YieldBOOST TSLA ETF
UBRL,GraniteShares 2x Long UBER Daily ETF
UBT,ProShares Ultra 20+ Year Treasury
UCO,ProShares Ultra Bloomberg Crude Oil
UDOW,ProShares UltraPro Dow30
UGL,ProShares Ultra Gold
UNHG,Leverage Shares 2X Long UNH Daily ETF
UPRO,ProShares UltraPro S&P500
URTY,ProShares UltraPro Russell2000
USD,ProShares Ultra Semiconductors
UTSL,Direxion Daily Utilities Bull 3X Shares
UVIX,2x Long VIX Futures ETF
UVXY,ProShares Ultra VIX Short-Term Futures ETF
UWM,ProShares Ultra Russell2000
UXRP,ProShares Ultra XRP ETF
WPAY,Roundhill WeeklyPay Universe ETF
WULX,Tradr 2X Long WULF Daily ETF
XRPT,2x XRP ETF
XXRP,Teucrium 2x Long Daily XRP ETF
YINN,Direxion Daily FTSE China Bull 3X Shares
