symbol,date,return,direction,move_type,avg_volume_5d,move_volume,volume_surge_pct,consecutive_increases,volume_trend_pct,avg_return_5d,volume_pattern
WULX,2025-12-16,-19.77,DOWN,2_day,279460,99200,-64.5,3,94.4,-10.17,BUILDING_MOMENTUM
QUBX,2025-12-24,-13.26,DOWN,2_day,312020,102900,-67.0,1,-24.9,7.16,DRY_UP
WULX,2025-12-26,-10.89,DOWN,2_day,139820,45200,-67.7,0,-52.4,3.21,DRY_UP
NVOX,2025-12-10,11.51,UP,single_day,1734805,557700,-67.9,1,-31.5,-1.17,DRY_UP
DJTU,2025-12-23,-24.21,DOWN,2_day,5018560,1590200,-68.3,1,2720.1,18.73,STEADY_INCREASE
CRDU,2025-12-05,-13.75,DOWN,2_day,588120,179700,-69.4,2,58.7,1.04,STEADY_INCREASE
BAIG,2025-12-24,-12.06,DOWN,2_day,391900,116500,-70.3,1,1.8,5.93,DRY_UP
CRWU,2025-12-24,-13.87,DOWN,2_day,2446540,630900,-74.2,3,92.7,12.1,BUILDING_MOMENTUM
MSOX,2025-12-24,10.49,UP,2_day,6101340,1564900,-74.4,2,-47.9,-15.12,DRY_UP
APLX,2025-12-24,-14.27,DOWN,2_day,499040,111000,-77.8,2,-11.9,9.36,DRY_UP
