Symbol,Description,Fund Type,Leveraged ETP
SLON,ProShares Ultra Solana ETF,"ETF, Leveraged",Yes
SMCL,GraniteShares 2x Long SMCI Daily ETF,"ETF, Leveraged",Yes
SMCZ,Defiance Daily Target 2X Short SMCI ETF,"ETF, Leveraged, Inverse",Yes
SNOU,T-Rex 2X Long SNOW Daily Target ETF,"ETF, Leveraged",Yes
SOFX,Defiance Daily Target 2X Long SOFI ETF,"ETF, Leveraged",Yes
SOXL,Direxion Daily Semiconductor Bull 3X Shares,"ETF, Leveraged",Yes
SOXS,Direxion Daily Semiconductor Bear 3X Shares,"ETF, Leveraged, Inverse",Yes
SPXL,Direxion Daily S&P500® Bull 3X Shares,"ETF, Leveraged",Yes
SPXS,Direxion Daily S&P 500® Bear 3X Shares,"ETF, Leveraged, Inverse",Yes
SSG,ProShares UltraShort Semiconductors,"ETF, Leveraged, Inverse",Yes
SSO,ProShares Ultra S&P500,"ETF, Leveraged",Yes
SVXY,ProShares Short VIX Short-Term Futures ETF,"ETF, Leveraged, Inverse",Yes
TBT,ProShares UltraShort 20+ Year Treasury,"ETF, Leveraged, Inverse",Yes
TECL,Direxion Daily Technology Bull 3X Shares,"ETF, Leveraged",Yes
TECS,Direxion Daily Technology Bear 3X Shares,"ETF, Leveraged, Inverse",Yes
TMF,Direxion Daily 20+ Year Treasury Bull 3X Shares,"ETF, Leveraged",Yes
TMV,Direxion Daily 20+ Year Treasury Bear 3X Shares,"ETF, Leveraged, Inverse",Yes
TSDD,Graniteshares 2x Short TSLA Daily ETF,"ETF, Leveraged, Inverse",Yes
TSLL,Direxion Daily TSLA Bull 2X Shares,"ETF, Leveraged",Yes
TSMX,Direxion Daily TSM Bull 2X Shares,"ETF, Leveraged",Yes
TWM,ProShares UltraShort Russell2000,"ETF, Leveraged, Inverse",Yes
TZA,Direxion Daily Small Cap Bear 3X Shares,"ETF, Leveraged, Inverse",Yes
UBRL,GraniteShares 2x Long UBER Daily ETF,"ETF, Leveraged",Yes
UBT,ProShares Ultra 20+ Year Treasury,"ETF, Leveraged",Yes
UGL,ProShares Ultra Gold,"ETF, Leveraged",Yes
URTY,ProShares UltraPro Russell2000,"ETF, Leveraged",Yes
USD,ProShares Ultra Semiconductors,"ETF, Leveraged",Yes
UTSL,Direxion Daily Utilities Bull 3X Shares,"ETF, Leveraged",Yes
UVXY,ProShares Ultra VIX Short-Term Futures ETF,"ETF, Leveraged",Yes
UXRP,ProShares Ultra XRP ETF,"ETF, Leveraged",Yes
WANT,Direxion Daily Cnsmr Discret Bull 3XShrs,"ETF, Leveraged",Yes
WEBS,Direxion Daily Dow Jones Internet Bear 3X Shares,"ETF, Leveraged, Inverse",Yes
