"Symbol","Description","Fund Type","Leveraged ETP","Regional Exposure: USA","Morningstar Category","Optionable ETFs","Average Volume (10 Day)"
"ERX","Direxion Daily Energy Bull 2X Shares","ETF, Leveraged","Yes","100.00%","Trading--Leveraged Equity","1","335275.8"
"ETHT","Proshares Ultra Ether ETF","ETF, Leveraged","Yes","--","Digital Assets","1","1257360.4"
"ETHU","2x Ether ETF","ETF, Leveraged","Yes","--","Digital Assets","1","5124370"
"ETU","T-Rex 2X Long Ether Daily Target ETF","ETF, Leveraged","Yes","--","Trading--Miscellaneous","1","112885.9"
"FAS","Direxion Daily Financial Bull 3X Shares","ETF, Leveraged","Yes","98.54%","Trading--Leveraged Equity","1","517329.5"
"FBL","GraniteShares 2x Long META Daily ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","955092"
"FIGG","Leverage Shares 2x Long FIG Daily ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","135103.2"
"GGLL","Direxion Daily GOOGL Bull 2X Shares","ETF, Leveraged","Yes","100.00%","Trading--Leveraged Equity","1","1335004.3"
"GMEU","T-Rex 2X Long GME Daily Target ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","494222.3"
"GUSH","Direxion Daily S&P Oil & Gas Exp. & Prod. Bull 2X Shares","ETF, Leveraged","Yes","100.00%","Trading--Leveraged Equity","1","1088348.5"
"HIMZ","Defiance Daily Target 2X Long HIMS ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","3649631.3"
"HOOG","Leverage Shares 2X Long HOOD Daily ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","219792.9"
"HOOW","Roundhill HOOD WeeklyPay ETF","ETF, Leveraged","Yes","--","Trading--Miscellaneous","1","314854.1"
"HOOX","Defiance Daily Target 2X Long HOOD ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","179635.1"
"INTW","GraniteShares 2x Long INTC Daily ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","796529.9"
"IONL","GraniteShares 2x Long IONQ Daily ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","261403.3"
"IONX","Defiance Daily Target 2X Long IONQ ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","2261495.2"
"IRE","Defiance Daily Target 2X Long IREN ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","14197874"
"IREX","Tradr 2X Long IREN Daily ETF","ETF, Leveraged","Yes","0.00%","Trading--Leveraged Equity","1","1475612.2"
"JNUG","Direxion Daily Junior Gold Miners Index Bull 2X Shares","ETF, Leveraged","Yes","17.40%","Trading--Leveraged Equity","1","265477.8"
"JOBX","Tradr 2X Long JOBY Daily ETF","ETF, Leveraged","Yes","100.00%","Trading--Leveraged Equity","1","177510.6"
"KORU","Direxion Daily South Korea Bull 3X Shares","ETF, Leveraged","Yes","0.00%","Trading--Leveraged Equity","1","133028.9"
"LABU","Direxion Daily S&P Biotech Bull 3X Shares","ETF, Leveraged","Yes","96.54%","Trading--Leveraged Equity","1","707671.9"
"LABX","Tradr 2X Long ALAB Daily ETF","ETF, Leveraged","Yes","100.00%","Trading--Leveraged Equity","1","971748.3"
"LCDL","GraniteShares 2x Long LCID Daily ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","227873.4"
"LLYX","Defiance Daily Target 2X Long LLY ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","342848.2"
"METU","Direxion Daily META Bull 2X ETF","ETF, Leveraged","Yes","100.00%","Trading--Leveraged Equity","1","2274701.3"
"MSFL","GraniteShares 2x Long MSFT Daily ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","188290.9"
"MSFU","Direxion Daily MSFT Bull 2X Shares","ETF, Leveraged","Yes","100.00%","Trading--Leveraged Equity","1","827410.1"
